MaritalStatus,ApplicationMode,ApplicationOrder,Course,Attendance,PrevQual,PreviousGrade,Nationality,MotherQual,FatherQual,MotherOcc,FatherOcc,AdmissionGrade,Displaced,SpecialNeeds,Debtor,TuitionUpToDate,Gender,Scholarship,Age,International,s1_credited,s1_enrolled,s1_eval,s1_approved,s1_grade,s1_wo_eval,s2_credited,s2_enrolled,s2_eval,s2_approved,s2_grade,s2_wo_eval,UnempRate,Inflation,GDP,financial_risk,vulnerability_idx,academic_distress,total_failures,age_x_scholarship,age_x_financial_risk,gdp_x_debtor,unemp_x_age,gdp_x_tuition,inflation_x_debtor,admission_vs_prevgrade,parent_qual_avg,parent_occ_avg,s1_approval_rate,s1_eval_rate,s1_credit_rate,s1_pass_efficiency,s1_eval_gap,s1_failed,low_grade_flag_s1,zero_grade_s1,s2_approval_rate,s2_eval_rate,s2_credit_rate,s2_pass_efficiency,s2_eval_gap,s2_failed,s1_to_s2_grade_delta,s1_to_s2_approved_delta,avg_grade,cum_approved,cum_failed,low_grade_flag_s2,zero_grade_s2,momentum_score,cum_efficiency,grade_per_approved,eval_participation_gap,Target
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,0,1,1,1,0,0,0.0,250.20000000000002,0.79,-0.0,-8.400000000000006,28.5,6.0,1.0,1.0,0.0,1.0,0,0,0,0,0.8333333333333334,1.1666666666666667,0.0,0.7142857142857143,-1,1,1.8666666666666654,-1,13.266666666666666,11,1,0,0,2.8666666666666654,0.9166666666666666,1.206060606060606,-1,0
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,0,2,2,2,18,0,-0.0,228.6,-1.7,0.0,-16.700000000000003,28.5,9.0,0.875,1.0,0.0,0.875,0,1,0,0,0.875,1.0,0.0,0.875,0,1,0.0,0,13.214285714285714,14,2,0,0,0.0,0.875,0.9438775510204082,0,0
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0,1,14,12,0,0,-0.0,241.29999999999998,-1.7,0.0,-2.8000000000000114,28.0,6.5,0.0,1.0,0.0,0.0,0,6,0,1,0.0,0.0,0.0,0.0,6,6,0.0,0,0.0,0,12,0,1,0.0,0.0,0.0,6,1
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,0,2,1,1,21,0,0.0,186.9,3.51,0.0,1.7999999999999972,1.0,5.5,1.0,1.1666666666666667,0.0,0.8571428571428571,-1,0,0,0,0.8333333333333334,1.3333333333333333,0.0,0.625,-2,1,0.4285714285714288,-1,10.785714285714285,11,1,0,0,1.4285714285714288,0.9166666666666666,0.9805194805194805,-3,0
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,0,2,1,1,18,0,0.0,194.4,1.74,0.0,-11.900000000000006,37.5,5.0,0.8,1.4,0.0,0.5714285714285714,-2,1,0,0,1.0,1.0,0.0,1.0,0,0,-1.25,1,12.625,9,1,0,0,-2.25,0.9,1.4027777777777777,-2,0
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0,1,8,7,0,0,-0.0,310.0,-4.06,0.0,-6.299999999999997,28.0,6.0,0.8333333333333334,1.0,0.0,0.8333333333333334,0,1,0,0,0.0,1.1666666666666667,0.0,0.0,-1,6,-13.2,-5,6.6,5,7,0,1,-8.2,0.4166666666666667,1.3199999999999998,-1,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,0,1,0,0,0,0,-0.0,279.0,-4.06,0.0,-7.700000000000003,10.0,4.5,1.0,1.1428571428571428,0.0,0.875,-1,0,0,0,1.0,1.0,0.0,1.0,0,0,1.2387499999999996,1,13.925625,15,0,0,0,0.23874999999999957,1.0,0.9283750000000001,-1,0
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,0,1,2,2,0,0,0.0,216.0,1.74,0.0,-0.6999999999999886,11.0,4.0,0.8,1.6,0.0,0.5,-3,1,0,0,0.8,1.6,0.0,0.5,-3,1,-0.25,0,12.375,8,2,0,0,-0.25,0.8,1.546875,-6,0
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,0,1,2,0,21,0,0.0,233.1,2.02,0.0,-1.7000000000000028,1.0,8.5,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0,0
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,0,1,2,2,0,0,-0.0,228.6,-1.7,0.0,-16.5,19.0,1.0,0.875,1.5,0.0,0.5833333333333334,-4,1,0,0,0.875,1.5,0.0,0.5833333333333334,-4,1,0.0,0,12.857142857142858,14,2,0,0,0.0,0.875,0.9183673469387755,-8,0
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,0,2,0,0,19,0,0.0,210.9,2.02,0.0,-10.099999999999994,19.5,5.5,1.0,1.3333333333333333,0.0,0.75,-2,0,0,0,1.0,1.1666666666666667,0.0,0.8571428571428571,-1,0,-1.0892857142857135,0,12.830357142857142,12,0,0,0,-1.0892857142857135,1.0,1.0691964285714286,-3,0
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,0,0,2,2,0,0,0.0,210.9,2.02,0.0,-2.0999999999999943,19.0,5.0,0.8571428571428571,1.1428571428571428,0.0,0.75,-1,1,0,0,0.875,1.125,0.0,0.7777777777777778,-1,1,0.8176190476190452,1,13.70547619047619,13,2,0,0,-0.18238095238095475,0.8666666666666667,1.0542673992673992,-2,0
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,0,1,0,0,0,0,-0.0,340.2,-0.92,0.0,1.4000000000000057,28.5,7.5,1.0,1.5,0.0,0.6666666666666666,-3,0,0,0,1.0,1.5,0.0,0.6666666666666666,-3,0,1.9107142857142865,0,12.330357142857142,12,0,0,0,1.9107142857142865,1.0,1.0275297619047619,-6,0
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,0,1,0,0,0,0,-0.0,324.0,-0.92,0.0,-12.900000000000006,10.0,9.0,1.0,1.2,0.0,0.8333333333333334,-1,0,0,0,1.0,1.2,0.0,0.8333333333333334,-1,0,0.3333333333333339,0,12.166666666666668,10,0,0,0,0.3333333333333339,1.0,1.2166666666666668,-2,0
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,0,1,2,2,0,0,0.0,178.0,3.51,0.0,5.0,22.5,124.5,1.0,1.1666666666666667,0.3333333333333333,0.8571428571428571,-1,0,0,0,0.6666666666666666,1.5,0.0,0.4444444444444444,-3,2,0.5666666666666664,-2,13.116666666666667,10,2,0,0,2.5666666666666664,0.8333333333333334,1.3116666666666668,-4,0
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,0,1,0,0,0,0,0.0,235.6,1.79,0.0,-3.5,10.0,7.0,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.3333333333333333,0.0,0.75,-2,0,1.708333333333334,0,13.520833333333332,12,0,0,0,1.708333333333334,1.0,1.126736111111111,-2,0
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,0,0,0,0,0,0,0.0,472.6,0.79,-0.0,1.4000000000000057,19.5,6.0,1.0,1.2,0.0,0.8333333333333334,-1,0,0,0,1.0,1.8,0.0,0.5555555555555556,-4,0,1.0285714285714285,0,12.914285714285715,10,0,0,0,1.0285714285714285,1.0,1.2914285714285714,-5,0
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,2,2,14,13,0,74,3.51,329.3,0.0,1.4,-27.5,37.5,7.5,0.0,1.0,0.0,0.0,0,7,0,1,0.14285714285714285,1.0,0.0,0.14285714285714285,0,6,10.0,1,5.0,1,13,0,0,9.0,0.07142857142857142,5.0,0,1
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0,1,12,10,0,0,0.0,326.8,0.32,0.0,-4.299999999999983,35.5,0.0,0.0,0.0,0.0,0.0,5,5,0,1,0.0,0.0,0.0,0.0,5,5,0.0,0,0.0,0,10,0,1,0.0,0.0,0.0,10,1
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,0,0,7,7,0,0,-0.0,891.0,-0.92,0.0,-17.099999999999994,37.0,6.0,0.2,2.0,0.0,0.1,-5,4,0,0,0.4,1.6,0.0,0.25,-3,3,2.0,1,11.0,3,7,0,0,1.0,0.3,3.6666666666666665,-8,1
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,0,1,0,0,0,0,0.0,296.4,0.32,0.0,-6.099999999999994,19.0,6.0,1.0,1.6,0.0,0.625,-3,0,0,0,1.0,1.0,0.0,1.0,0,0,0.5999999999999996,0,11.3,10,0,0,0,0.5999999999999996,1.0,1.1300000000000001,-3,0
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,2,2,6,6,0,40,1.79,248.0,0.0,0.5,0.0,4.0,4.5,0.5,2.1666666666666665,0.3333333333333333,0.23076923076923078,-7,3,0,0,0.5,1.8333333333333333,0.16666666666666666,0.2727272727272727,-5,3,0.3333333333333339,0,11.833333333333332,6,6,0,0,0.3333333333333339,0.5,1.972222222222222,-12,1
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,1,1,8,7,0,18,-1.7,228.6,-1.7,3.7,-4.900000000000006,3.0,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0,2,0,0,0.0,1.0,0.0,0.0,0,5,-12.75,-4,6.375,4,7,0,1,-8.75,0.36363636363636365,1.59375,0,1
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,0,1,0,0,0,0,0.0,195.8,3.51,0.0,-12.599999999999994,11.0,4.5,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,1.0,0,15.3,10,0,0,0,1.0,1.0,1.53,0,0
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,0,1,3,3,0,0,0.0,244.2,2.02,0.0,-2.4000000000000057,2.0,2.0,0.7142857142857143,1.2857142857142858,0.0,0.5555555555555556,-2,2,0,0,0.875,1.125,0.0,0.7777777777777778,-1,1,0.4148571428571408,2,14.135428571428571,12,3,0,0,-1.5851428571428592,0.8,1.1779523809523809,-3,0
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,1,1,3,3,0,20,0.0,248.0,0.0,0.0,1.4000000000000057,19.5,5.0,0.6666666666666666,1.1666666666666667,0.0,0.5714285714285714,-1,2,0,0,0.8333333333333334,1.1666666666666667,0.0,0.7142857142857143,-1,1,0.8000000000000007,1,13.4,9,3,0,0,-0.1999999999999993,0.75,1.488888888888889,-2,1
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0,0,12,10,0,0,-0.0,469.79999999999995,-0.92,0.0,-23.39999999999999,37.0,9.0,0.0,0.0,0.0,0.0,5,5,0,1,0.0,0.0,0.0,0.0,5,5,0.0,0,0.0,0,10,0,1,0.0,0.0,0.0,10,1
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,0,1,1,1,0,0,0.0,199.79999999999998,2.02,0.0,-2.4000000000000057,19.0,9.0,1.0,1.0,0.0,1.0,0,0,0,0,0.8333333333333334,1.3333333333333333,0.0,0.625,-2,1,1.5333333333333332,-1,12.433333333333334,11,1,0,0,2.533333333333333,0.9166666666666666,1.1303030303030304,-2,0
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,0,2,2,2,22,0,0.0,244.2,2.02,0.0,0.4000000000000057,28.0,7.0,0.8571428571428571,1.1428571428571428,0.0,0.75,-1,1,0,0,0.875,1.125,0.0,0.7777777777777778,-1,1,0.2547619047619065,1,13.644047619047619,13,2,0,0,-0.7452380952380935,0.8666666666666667,1.0495421245421246,-2,0
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,0,1,0,0,21,0,0.0,260.40000000000003,1.79,0.0,3.4000000000000057,10.0,9.0,1.0,1.0,0.5,1.0,0,0,0,0,1.0,1.1666666666666667,0.3333333333333333,0.8571428571428571,-1,0,1.7857142857142865,0,12.392857142857142,12,0,0,0,1.7857142857142865,1.0,1.0327380952380951,-1,0
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,0,1,1,1,19,0,-0.0,241.29999999999998,-1.7,0.0,-12.900000000000006,37.5,9.0,0.8333333333333334,1.1666666666666667,0.0,0.7142857142857143,-1,1,0,0,1.0,1.1666666666666667,0.0,0.8571428571428571,-1,0,0.5,1,12.583333333333334,11,1,0,0,-0.5,0.9166666666666666,1.143939393939394,-2,0
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,0,1,0,0,24,0,0.0,297.6,1.79,0.0,-16.5,28.5,8.0,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0.5,0,13.916666666666666,12,0,0,0,0.5,1.0,1.159722222222222,0,0
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,0,0,0,0,0,0,0.0,144.4,0.32,0.0,-7.699999999999989,37.0,90.0,1.0,1.4,0.0,0.7142857142857143,-2,0,0,0,1.0,1.0,0.0,1.0,0,0,1.0857142857142872,0,15.257142857142856,10,0,0,0,1.0857142857142872,1.0,1.5257142857142856,-2,0
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,0,0,0,0,0,0,-0.0,253.8,-3.12,-0.0,-10.0,38.0,9.0,1.0,2.4,0.0,0.4166666666666667,-7,0,0,0,1.0,2.0,0.0,0.5,-5,0,0.40000000000000036,0,10.8,10,0,0,0,0.40000000000000036,1.0,1.08,-12,1
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,0,1,0,0,0,0,-0.0,279.0,-4.06,0.0,-0.9000000000000057,10.0,5.0,1.0,1.2857142857142858,0.0,0.7777777777777778,-2,0,0,0,1.0,1.25,0.0,0.8,-2,0,0.5505555555555564,1,13.319722222222222,15,0,0,0,-0.44944444444444365,1.0,0.8879814814814815,-4,0
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,0,0,14,12,0,0,0.0,483.6,1.79,0.0,0.0,2.0,3.5,0.0,1.6666666666666667,0.0,0.0,-4,6,0,1,0.0,1.0,0.0,0.0,0,6,0.0,0,0.0,0,12,0,1,0.0,0.0,0.0,-4,1
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,0,1,2,2,0,0,0.0,334.8,1.79,0.0,26.30000000000001,3.0,2.0,0.8333333333333334,1.5,0.0,0.5555555555555556,-3,1,0,0,0.9090909090909091,1.1818181818181819,0.45454545454545453,0.7692307692307693,-2,1,-0.09999999999999964,5,12.95,15,2,0,0,-5.1,0.8823529411764706,0.8633333333333333,-5,1
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,0,1,0,0,0,0,-0.0,169.20000000000002,-3.12,-0.0,-1.1999999999999886,38.0,8.5,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0.0,0,14.935,16,0,0,0,0.0,1.0,0.9334375,0,0
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,0,0,2,2,0,0,-0.0,291.59999999999997,-0.92,0.0,-10.099999999999994,19.0,9.0,0.8571428571428571,1.1428571428571428,0.0,0.75,-1,1,0,0,0.875,1.5,0.0,0.5833333333333334,-4,1,-0.9119047619047613,1,12.677380952380952,13,2,0,0,-1.9119047619047613,0.8666666666666667,0.9751831501831502,-5,0
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,0,1,0,0,21,0,0.0,291.90000000000003,0.79,-0.0,1.9000000000000057,10.0,9.0,1.0,1.1666666666666667,0.5,0.8571428571428571,-1,0,0,0,1.0,1.1666666666666667,0.3333333333333333,0.8571428571428571,-1,0,0.0,0,12.0,12,0,0,0,0.0,1.0,1.0,-2,0
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0,1,5,5,0,0,0.0,403.1,0.79,-0.0,-7.099999999999994,1.0,5.0,0.7142857142857143,1.4285714285714286,0.2857142857142857,0.5,-3,2,0,0,0.625,1.25,0.125,0.5,-2,3,-0.9000000000000004,0,11.45,10,5,0,0,-0.9000000000000004,0.6666666666666666,1.145,-5,1
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,2,2,0,19,0,0.0,205.20000000000002,1.74,0.0,-10.800000000000011,19.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0,0
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,0,1,0,0,0,0,0.0,204.70000000000002,3.51,0.0,0.0,28.0,9.0,1.0,1.3333333333333333,0.0,0.75,-2,0,0,0,1.0,1.1666666666666667,0.0,0.8571428571428571,-1,0,-0.14285714285714235,0,12.5,12,0,0,0,-0.14285714285714235,1.0,1.0416666666666667,-3,0
