horizon,test_index,true_label,pred_prob,risk_label,cf_feature,cf_old,cf_new,cf_pred_after
t1,3117,1,0.9999881096089331,High,gdp_x_tuition,0.0,0.0010000000474974513,0.9999717863240712
t1,4499,1,0.9999881096089331,High,gdp_x_tuition,0.0,0.0010000000474974513,0.99993200350255
t1,3894,1,0.9999881096089331,High,gdp_x_tuition,0.0,0.0010000000474974513,0.999958659015459
t1,63,1,0.9999881096089331,High,gdp_x_tuition,0.0,0.0010000000474974513,0.9997579919562776
t1,2857,1,0.9999881096089331,High,s1_enrolled,2.0,3.000999927520752,0.9999387584238664
t1,1361,1,0.9999881096089331,High,gdp_x_tuition,0.0,0.0010000000474974513,0.9995950344605286
t1,4759,1,0.9999880740961613,High,s1_enrolled,2.0,3.000999927520752,0.9998479895862653
t1,3343,1,0.9999880463985721,High,s1_grade,17.200000762939453,25.801000595092773,0.9999707871324192
t1,4282,1,0.9999880463985721,High,s1_enrolled,2.0,3.000999927520752,0.9998405959905013
t1,2819,1,0.9999880463985721,High,s1_grade,15.600000381469727,7.799000263214111,0.9999637136592332
t1,4600,1,0.9999880463985721,High,vle_sites_used,53.0,26.499000549316406,0.9999769004167743
t1,4576,1,0.9999880463985721,High,vle_sites_used,40.0,19.999000549316406,0.9999599740543821
t1,4621,1,0.9999880463985721,High,gdp_x_tuition,0.0,0.0010000000474974513,0.9999732521685741
t1,4060,1,0.9999880463985721,High,vle_sites_used,39.0,19.499000549316406,0.9999705770223926
t1,2664,1,0.9999880463985721,High,s1_enrolled,2.0,3.000999927520752,0.9998304111255296
t1,3812,1,0.9999880463985721,High,gdp_x_tuition,0.0,0.0010000000474974513,0.9999684695188059
t1,3960,1,0.9999880463985721,High,s1_enrolled,2.0,3.000999927520752,0.9998523297423144
t1,4834,1,0.9999880463985721,High,s1_grade,15.199999809265137,7.598999977111816,0.9999509218204149
t1,3605,1,0.9999879666554446,High,s1_grade,16.0,7.999000072479248,0.9998979943585
t1,3825,1,0.9999879666554446,High,s1_enrolled,2.0,3.000999927520752,0.9998456559628297
t1,4538,1,0.9999879367323888,High,vle_sites_used,47.0,23.499000549316406,0.9999651939371113
t2,3588,1,0.9971987629133389,High,,,,
t2,3598,1,0.9971987629133389,High,,,,
t2,3599,1,0.9971987629133389,High,,,,
t2,3600,1,0.9971987629133389,High,,,,
t2,3603,1,0.9971987629133389,High,,,,
t2,1712,1,0.9971987629133389,High,,,,
t2,1713,1,0.9971987629133389,High,,,,
t2,1716,1,0.9971987629133389,High,,,,
t2,1718,1,0.9971987629133389,High,,,,
t2,3585,1,0.9971987629133389,High,,,,
t2,1676,1,0.9971987629133389,High,,,,
t2,3589,1,0.9971987629133389,High,,,,
t2,3592,1,0.9971987629133389,High,,,,
t2,3593,1,0.9971987629133389,High,,,,
t2,3595,1,0.9971987629133389,High,,,,
t2,3596,1,0.9971987629133389,High,,,,
t2,1711,1,0.9971987629133389,High,,,,
t2,1704,1,0.9971987629133389,High,,,,
t2,1706,1,0.9971987629133389,High,,,,
t2,3604,1,0.9971987629133389,High,,,,
t2,1688,1,0.9971987629133389,High,,,,
t2,1689,1,0.9971987629133389,High,,,,
t2,3620,1,0.9971987629133389,High,,,,
t2,3621,1,0.9971987629133389,High,,,,
t2,3622,1,0.9971987629133389,High,,,,
